17:19:27 | ConditionsProcessor  | WARNING  | Колонка 'road_conditions': 2 неизвестных тегов → 'road_other'. Примеры: [неудовлетворительное_состояние_разделительной_полосы, отсутствие_направляющих_устройств_и_световозвращающих_элементов_на_них]. Затронуто 25 строк (0.21%).
17:19:27 | ConditionsProcessor  | INFO     |    [i] Дорожные условия обработаны.
17:19:27 | ConditionsProcessor  | INFO     | <<< [КОНЕЦ] Обработка списков погоды и дорожных условий. Время: 0.31 сек.
17:19:27 | VehicleProcessor     | INFO     | >>> [НАЧАЛО] Обработка автомобилей (Счетчики, Возраст, Взаимодействие)...
17:19:28 | VehicleProcessor     | INFO     | <<< [КОНЕЦ] Обработка автомобилей (Счетчики, Возраст, Взаимодействие). Время: 0.70 сек.
17:19:28 | ParticipantProcessor | INFO     | >>> [НАЧАЛО] Обработка участников (Режим нарушений: post_event)...
17:19:28 | ParticipantProcessor | INFO     | <<< [КОНЕЦ] Обработка участников (Режим нарушений: post_event). Время: 0.80 сек.
17:19:28 | TargetProcessor      | INFO     | >>> [НАЧАЛО] Кодирование целевой переменной severity...
17:19:29 | TargetProcessor      | INFO     |    [i] Баланс классов: {0: 6799, 1: 4316, 2: 846}
17:19:29 | TargetProcessor      | INFO     | <<< [КОНЕЦ] Кодирование целевой переменной severity. Время: 0.05 сек.
17:19:29 | DtpPipeline          | INFO     | ================================================================================
17:19:29 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: belgorodskaia-oblast.geojson.zip =====
17:19:29 | DtpPipeline          | INFO     | ================================================================================
17:19:29 | JsonDataLoader       | INFO     | Загрузка: data/need_process\belgorodskaia-oblast.geojson.zip
17:19:29 | JsonDataLoader       | INFO     | Чтение из архива: belgorodskaia-oblast.geojson
17:19:29 | JsonDataLoader       | INFO     | Формат: GeoJSON.
17:19:29 | JsonDataLoader       | INFO     | Загружено строк: 12751. Колонок: 24
17:19:29 | CleaningProcessor    | INFO     | --- Запуск очистки данных ---
17:19:29 | CleaningProcessor    | INFO     | Удален технический мусор: ['id', 'coordinates', 'address']
17:19:29 | CleaningProcessor    | INFO     | Удалены поля с утечкой данных (Leakage): ['dead_count', 'injured_count', 'participants_count']
17:19:29 | TemporalProcessor    | INFO     | >>> [НАЧАЛО] Обработка времени и освещения...
17:19:30 | TemporalProcessor    | INFO     |    [i] Циклы времени созданы.
17:19:30 | TemporalProcessor    | INFO     |    [i] Свет обработан.
17:19:30 | TemporalProcessor    | INFO     |    [-] Колонка 'datetime' удалена.
17:19:30 | TemporalProcessor    | INFO     | <<< [КОНЕЦ] Обработка времени и освещения. Время: 0.10 сек.
17:19:30 | TagsProcessor        | INFO     | >>> [НАЧАЛО] Обработка объектов окружения (nearby)...
17:19:30 | TagsProcessor        | INFO     |    [i] Строк с тегами 'other': 10.41% (1328/12751)
17:19:30 | TagsProcessor        | WARNING  | Примеры тегов, попавших в 'other': ['производственное_предприятие', 'место_для_перегона_скота', 'объект_строительства', 'автостоянка_не_отделенная_от_проезжей_части', 'объект_здание_сооружение_религиозного_культа', 'зоны_отдыха', 'автостоянка_отделенная_от_проезжей_части', 'иной_объект', 'кладбище']
17:19:30 | TagsProcessor        | INFO     | <<< [КОНЕЦ] Обработка объектов окружения (nearby). Время: 0.26 сек.
17:19:30 | SpatialProcessor     | INFO     | >>> [НАЧАЛО] Обработка географических признаков...
17:19:30 | SpatialProcessor     | INFO     |    [i] Координаты обработаны.
17:19:30 | SpatialProcessor     | INFO     |    [i] Регионы (дочерный и родительский) обработаны.
17:19:30 | SpatialProcessor     | INFO     |    [i] Схемы обработаны (fillna + split).
17:19:30 | SpatialProcessor     | INFO     | <<< [КОНЕЦ] Обработка географических признаков. Время: 0.13 сек.
17:19:30 | CategoryProcessor    | INFO     | >>> [НАЧАЛО] Обработка категории дтп...
17:19:30 | CategoryProcessor    | WARNING  | Колонка 'category': 1 новых значений вне Whitelist → заменены на 'иной_вид_дтп'. Примеры: [наезд_на_гужевой_транспорт]. Затронуто 3 строк (0.02%).
17:19:30 | CategoryProcessor    | INFO     |    [i] Топ-3 категории: {'столкновение': 5862, 'наезд_на_пешехода': 3376, 'съезд_с_дороги': 1075}
17:19:30 | CategoryProcessor    | INFO     | <<< [КОНЕЦ] Обработка категории дтп. Время: 0.07 сек.
17:19:30 | ConditionsProcessor  | INFO     | >>> [НАЧАЛО] Обработка списков погоды и дорожных условий...
17:19:30 | ConditionsProcessor  | INFO     |    [i] Погода обработана.
17:19:30 | ConditionsProcessor  | WARNING  | Колонка 'road_conditions': 2 неизвестных тегов → 'road_other'. Примеры: [неудовлетворительное_состояние_разделительной_полосы, отсутствие_направляющих_устройств_и_световозвращающих_элементов_на_них]. Затронуто 18 строк (0.14%).
17:19:30 | ConditionsProcessor  | INFO     |    [i] Дорожные условия обработаны.
17:19:30 | ConditionsProcessor  | INFO     | <<< [КОНЕЦ] Обработка списков погоды и дорожных условий. Время: 0.29 сек.
17:19:30 | VehicleProcessor     | INFO     | >>> [НАЧАЛО] Обработка автомобилей (Счетчики, Возраст, Взаимодействие)...
17:19:31 | VehicleProcessor     | INFO     | <<< [КОНЕЦ] Обработка автомобилей (Счетчики, Возраст, Взаимодействие). Время: 0.75 сек.
17:19:31 | ParticipantProcessor | INFO     | >>> [НАЧАЛО] Обработка участников (Режим нарушений: post_event)...
17:19:32 | ParticipantProcessor | INFO     | <<< [КОНЕЦ] Обработка участников (Режим нарушений: post_event). Время: 0.81 сек.
17:19:32 | TargetProcessor      | INFO     | >>> [НАЧАЛО] Кодирование целевой переменной severity...
17:19:32 | TargetProcessor      | INFO     |    [i] Баланс классов: {0: 6332, 1: 4944, 2: 1475}
17:19:32 | TargetProcessor      | INFO     | <<< [КОНЕЦ] Кодирование целевой переменной severity. Время: 0.05 сек.
17:19:32 | DtpPipeline          | INFO     | ================================================================================
17:19:32 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: brianskaia-oblast.geojson.zip =====
17:19:32 | DtpPipeline          | INFO     | ================================================================================
